,Address,Locality,Price,Beds,Area,Full Baths,Half Baths,Lot Size
0,0 Gateway,0 Gateway,"$725,000",,,,,
1,1003 Winchester Blvd.,1003 Winchester Blvd.,"$452,900",4 Beds,,4,,0.21 Acres
2,600 Talladega,600 Talladega,"$396,900",5 Beds,"3,154",3,,
3,3239 Spearhead Way,3239 Spearhead Way,"$389,900",4 Beds,"3,076",3,1,"Under 1/2 Acre, "
4,522 Emerald Street,522 Emerald Street,"$254,000",3 Beds,"1,172",3,,"Under 1/2 Acre, "
5,1302 Veteran's Drive,1302 Veteran's Drive,"$252,900",4 Beds,"1,932",2,,0.27 Acres
6,1021 Cypress Cir,1021 Cypress Cir,"$210,000",4 Beds,"1,676",3,,"Under 1/2 Acre, "
7,913 Madison Dr,913 Madison Dr,"$209,000",3 Beds,"1,344",2,,"Under 1/2 Acre, "
8,1344 Teton Street,1344 Teton Street,"$199,900",3 Beds,"1,920",2,,"Under 1/2 Acre, "
9,4 Minnies Lane,4 Minnies Lane,"$196,900",3 Beds,"1,664",2,,2.02 Acres
10,0 Gateway,0 Gateway,"$725,000",,,,,
11,1003 Winchester Blvd.,1003 Winchester Blvd.,"$452,900",4 Beds,,4,,0.21 Acres
12,600 Talladega,600 Talladega,"$396,900",5 Beds,"3,154",3,,
13,3239 Spearhead Way,3239 Spearhead Way,"$389,900",4 Beds,"3,076",3,1,"Under 1/2 Acre, "
14,522 Emerald Street,522 Emerald Street,"$254,000",3 Beds,"1,172",3,,"Under 1/2 Acre, "
15,1302 Veteran's Drive,1302 Veteran's Drive,"$252,900",4 Beds,"1,932",2,,0.27 Acres
16,1021 Cypress Cir,1021 Cypress Cir,"$210,000",4 Beds,"1,676",3,,"Under 1/2 Acre, "
17,913 Madison Dr,913 Madison Dr,"$209,000",3 Beds,"1,344",2,,"Under 1/2 Acre, "
18,1344 Teton Street,1344 Teton Street,"$199,900",3 Beds,"1,920",2,,"Under 1/2 Acre, "
19,4 Minnies Lane,4 Minnies Lane,"$196,900",3 Beds,"1,664",2,,2.02 Acres
20,0 Gateway,0 Gateway,"$725,000",,,,,
21,1003 Winchester Blvd.,1003 Winchester Blvd.,"$452,900",4 Beds,,4,,0.21 Acres
22,600 Talladega,600 Talladega,"$396,900",5 Beds,"3,154",3,,
23,3239 Spearhead Way,3239 Spearhead Way,"$389,900",4 Beds,"3,076",3,1,"Under 1/2 Acre, "
24,522 Emerald Street,522 Emerald Street,"$254,000",3 Beds,"1,172",3,,"Under 1/2 Acre, "
25,1302 Veteran's Drive,1302 Veteran's Drive,"$252,900",4 Beds,"1,932",2,,0.27 Acres
26,1021 Cypress Cir,1021 Cypress Cir,"$210,000",4 Beds,"1,676",3,,"Under 1/2 Acre, "
27,913 Madison Dr,913 Madison Dr,"$209,000",3 Beds,"1,344",2,,"Under 1/2 Acre, "
28,1344 Teton Street,1344 Teton Street,"$199,900",3 Beds,"1,920",2,,"Under 1/2 Acre, "
29,4 Minnies Lane,4 Minnies Lane,"$196,900",3 Beds,"1,664",2,,2.02 Acres
